               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.072502,           0.0057968,            0.056213,             0.61997,            0.091796,            0.077712,            0.022651,             0.03149,           0.0063341,            0.024577,           0.0091585,           0.0091585,           0.0091585
                  36,            0.073509,           0.0057234,            0.055821,             0.68063,            0.076246,             0.08098,            0.023509,            0.032108,           0.0064788,            0.024647,           0.0091337,           0.0091337,           0.0091337
                  37,            0.073375,           0.0061144,            0.055075,             0.62649,            0.089477,            0.066209,            0.018949,            0.032175,           0.0065351,            0.027201,            0.009109,            0.009109,            0.009109
                  38,            0.073019,             0.00602,            0.054359,             0.57203,            0.071317,            0.044141,            0.011465,            0.034712,           0.0064233,            0.025188,           0.0090843,           0.0090843,           0.0090843
                  39,            0.072317,           0.0058974,            0.051565,             0.62603,              0.1245,            0.098952,            0.030643,            0.031273,           0.0063551,             0.02415,           0.0090595,           0.0090595,           0.0090595
                  40,            0.073201,           0.0057391,            0.052028,             0.71438,            0.092326,            0.086054,            0.026388,            0.032621,             0.00657,            0.023591,           0.0090347,           0.0090347,           0.0090347
                  41,            0.072976,           0.0057309,            0.054549,             0.56919,              0.1225,            0.089791,             0.02481,            0.031792,            0.006592,             0.02307,             0.00901,             0.00901,             0.00901
                  42,            0.072339,            0.006067,            0.050935,             0.59764,             0.13911,            0.078207,            0.023138,            0.032324,           0.0062355,            0.025193,           0.0089853,           0.0089853,           0.0089853
                  43,            0.073661,           0.0057842,            0.051885,             0.69382,             0.12371,            0.095802,            0.026717,            0.032712,           0.0063992,            0.022782,           0.0089605,           0.0089605,           0.0089605
                  44,            0.072126,           0.0056976,            0.051137,             0.72277,            0.089379,            0.096218,              0.0293,            0.031999,           0.0064111,            0.022311,           0.0089358,           0.0089358,           0.0089358
                  45,             0.07397,           0.0057089,            0.052135,             0.73331,            0.099667,              0.1162,            0.031531,            0.031551,           0.0064932,            0.022836,            0.008911,            0.008911,            0.008911
                  46,            0.071782,           0.0056481,            0.049437,             0.57546,             0.13488,             0.11112,            0.034074,            0.030978,           0.0063481,             0.02159,           0.0088863,           0.0088863,           0.0088863
                  47,            0.071589,           0.0058655,            0.049466,             0.66199,             0.12718,            0.089875,            0.027269,            0.032557,           0.0062626,            0.021043,           0.0088615,           0.0088615,           0.0088615
                  48,            0.070719,           0.0060059,            0.047694,             0.52652,             0.14333,             0.12922,            0.038354,            0.030759,           0.0063563,            0.021814,           0.0088368,           0.0088368,           0.0088368
                  49,            0.071338,           0.0054856,            0.044015,              0.4953,             0.18779,             0.12583,            0.033335,            0.030276,           0.0061692,            0.019244,            0.008812,            0.008812,            0.008812
                  50,             0.07139,           0.0058846,            0.048995,             0.52025,             0.11611,            0.080712,            0.022722,            0.035805,           0.0060281,            0.021494,           0.0087872,           0.0087872,           0.0087872
                  51,             0.07208,           0.0056565,            0.046056,             0.55317,             0.15237,             0.15112,            0.045525,            0.030375,           0.0063727,            0.019175,           0.0087625,           0.0087625,           0.0087625
                  52,             0.07107,           0.0054666,            0.043798,             0.62057,             0.18176,             0.15682,            0.048124,              0.0303,           0.0062731,            0.018422,           0.0087378,           0.0087378,           0.0087378
                  53,            0.069042,            0.006014,            0.043247,             0.61347,             0.17568,             0.16868,            0.049931,            0.029625,           0.0062495,            0.017812,            0.008713,            0.008713,            0.008713
                  54,             0.07107,           0.0057843,            0.044697,             0.58678,             0.17877,             0.16011,            0.045151,            0.030022,            0.006368,            0.018317,           0.0086882,           0.0086882,           0.0086882
                  55,            0.070204,           0.0056965,            0.042873,              0.5774,             0.16207,             0.14932,            0.045223,            0.031116,           0.0065199,            0.020152,           0.0086635,           0.0086635,           0.0086635
                  56,            0.071159,           0.0056716,            0.042155,              0.5864,             0.19289,             0.17327,            0.051798,            0.029391,           0.0062211,            0.017169,           0.0086388,           0.0086388,           0.0086388
                  57,            0.069659,           0.0058667,            0.041426,             0.55731,             0.21621,             0.16954,            0.051913,             0.02918,           0.0060668,            0.016955,            0.008614,            0.008614,            0.008614
                  58,            0.069167,           0.0054899,            0.039703,             0.60049,             0.23175,             0.19364,             0.06113,            0.029391,           0.0060479,             0.01581,           0.0085893,           0.0085893,           0.0085893
                  59,            0.068932,           0.0055475,            0.037667,             0.62118,             0.20172,             0.19771,            0.059928,            0.029735,           0.0062037,            0.016447,           0.0085645,           0.0085645,           0.0085645
                  60,            0.067821,           0.0057649,            0.038349,             0.53112,             0.22293,              0.1842,            0.060217,             0.02933,           0.0059612,             0.01548,           0.0085398,           0.0085398,           0.0085398
                  61,            0.068259,           0.0056055,            0.039069,              0.6343,             0.23929,             0.22056,            0.072391,            0.028452,           0.0060579,            0.015991,            0.008515,            0.008515,            0.008515
                  62,            0.069122,           0.0055439,            0.039139,             0.63665,             0.23193,             0.23153,            0.073693,            0.028896,           0.0059489,            0.015527,           0.0084903,           0.0084903,           0.0084903
                  63,            0.068919,           0.0057781,            0.037845,             0.75012,              0.2107,             0.22428,            0.070456,            0.028417,           0.0066396,            0.015494,           0.0084655,           0.0084655,           0.0084655
                  64,            0.066443,           0.0058566,            0.037494,             0.43159,             0.22207,              0.1746,            0.052679,            0.028384,           0.0062646,            0.016738,           0.0084408,           0.0084408,           0.0084408
                  65,            0.069453,           0.0055303,            0.037407,             0.51352,             0.27744,             0.21519,            0.069098,            0.028152,           0.0061581,            0.014602,            0.008416,            0.008416,            0.008416
                  66,            0.068581,           0.0054482,            0.036172,             0.58733,             0.24606,             0.22113,            0.067957,            0.029171,           0.0059616,            0.015073,           0.0083913,           0.0083913,           0.0083913
                  67,            0.067867,           0.0056966,            0.035042,             0.68124,             0.20235,             0.21988,            0.068022,            0.029329,           0.0060113,            0.014206,           0.0083665,           0.0083665,           0.0083665
                  68,            0.068356,           0.0053202,            0.034803,             0.46428,             0.27378,             0.22665,             0.06978,             0.02865,           0.0060237,            0.013785,           0.0083418,           0.0083418,           0.0083418
                  69,            0.066367,           0.0055208,            0.033962,             0.54976,             0.30135,             0.24703,            0.081255,            0.028283,            0.005957,            0.013061,            0.008317,            0.008317,            0.008317
                  70,            0.067482,           0.0057237,              0.0349,             0.38548,             0.32782,             0.22333,            0.070401,            0.028274,           0.0061271,            0.014668,           0.0082922,           0.0082922,           0.0082922
                  71,            0.069427,           0.0054826,            0.036016,             0.59053,             0.27625,             0.27256,            0.085224,            0.027788,           0.0058376,            0.013345,           0.0082675,           0.0082675,           0.0082675
                  72,            0.067177,           0.0056621,            0.033321,             0.72936,             0.25334,             0.31425,              0.1007,            0.028627,           0.0056826,            0.012188,           0.0082428,           0.0082428,           0.0082428
                  73,             0.06697,           0.0053056,            0.031592,             0.49147,              0.2848,             0.23932,            0.071978,            0.029118,           0.0058875,            0.012346,            0.008218,            0.008218,            0.008218
                  74,             0.06838,           0.0056526,            0.032069,             0.47513,             0.33393,              0.2566,            0.072279,            0.028469,           0.0060498,            0.012303,           0.0081932,           0.0081932,           0.0081932
                  75,            0.067439,            0.005433,            0.029433,              0.5113,              0.2841,             0.24808,             0.08129,            0.028998,           0.0060482,            0.013798,           0.0081685,           0.0081685,           0.0081685
                  76,            0.065446,            0.005443,            0.029182,             0.35591,             0.36441,             0.27314,            0.081679,            0.029191,           0.0059083,            0.013768,           0.0081437,           0.0081437,           0.0081437
                  77,            0.065943,           0.0052356,            0.031182,             0.58247,             0.33726,             0.31974,             0.10051,            0.027691,           0.0057316,            0.010937,            0.008119,            0.008119,            0.008119
                  78,            0.066589,           0.0053757,            0.030158,             0.47605,             0.37996,             0.28874,            0.089638,            0.028394,           0.0056475,            0.010793,           0.0080942,           0.0080942,           0.0080942
                  79,             0.06448,           0.0056209,            0.026788,             0.57459,             0.38324,             0.35568,             0.12164,            0.026279,           0.0055665,           0.0098822,           0.0080695,           0.0080695,           0.0080695
                  80,            0.064794,           0.0050478,             0.02655,             0.43805,             0.36262,             0.34282,             0.11626,            0.026722,           0.0055508,           0.0097056,           0.0080447,           0.0080447,           0.0080447
                  81,            0.066511,           0.0050485,            0.027821,             0.48754,             0.38317,             0.35917,             0.11776,            0.028494,           0.0056663,           0.0096609,             0.00802,             0.00802,             0.00802
                  82,            0.064229,           0.0053068,            0.026937,             0.50854,             0.42583,             0.37377,             0.12138,            0.026715,           0.0054991,           0.0093772,           0.0079953,           0.0079953,           0.0079953
                  83,            0.064502,           0.0050962,            0.026138,             0.56554,             0.41793,             0.35851,             0.12305,            0.027265,           0.0055321,           0.0096625,           0.0079705,           0.0079705,           0.0079705
                  84,            0.063689,           0.0055708,             0.02678,              0.4913,             0.39338,             0.36084,             0.11704,            0.026976,            0.005644,            0.010029,           0.0079457,           0.0079457,           0.0079457
                  85,             0.06358,           0.0053381,            0.025614,             0.56066,             0.34916,             0.36542,             0.12223,            0.026386,           0.0054613,           0.0091274,            0.007921,            0.007921,            0.007921
                  86,            0.062942,           0.0051572,            0.024564,             0.48134,             0.40557,             0.38102,             0.13272,            0.026328,           0.0053859,           0.0084096,           0.0078963,           0.0078963,           0.0078963
                  87,             0.06361,           0.0053742,             0.02451,             0.51442,             0.41667,             0.36608,             0.12501,            0.026224,             0.00575,            0.010052,           0.0078715,           0.0078715,           0.0078715
                  88,            0.063339,           0.0052936,            0.025314,             0.46626,              0.3889,             0.39506,             0.13679,            0.026218,           0.0055496,           0.0090309,           0.0078467,           0.0078467,           0.0078467
                  89,            0.063084,            0.005338,            0.026307,              0.5061,             0.42191,             0.38202,             0.13071,            0.026572,           0.0055728,           0.0089484,            0.007822,            0.007822,            0.007822
                  90,            0.064489,           0.0051026,            0.026059,             0.57139,             0.40527,             0.34677,             0.12236,            0.028574,           0.0054122,            0.009316,           0.0077973,           0.0077973,           0.0077973
                  91,            0.063521,           0.0050721,            0.024463,              0.5374,             0.43502,             0.38763,             0.13634,             0.02614,           0.0054152,           0.0082177,           0.0077725,           0.0077725,           0.0077725
                  92,            0.062615,           0.0050326,             0.02232,             0.61269,             0.44105,             0.43671,             0.15611,            0.025948,           0.0053631,           0.0078965,           0.0077478,           0.0077478,           0.0077478
                  93,            0.063713,           0.0049204,            0.023291,             0.46404,             0.45561,             0.38333,             0.13489,            0.026998,           0.0054797,           0.0085352,            0.007723,            0.007723,            0.007723
                  94,            0.061934,           0.0052945,            0.022235,             0.56262,             0.39365,             0.38499,             0.13869,            0.026279,           0.0053217,           0.0073305,           0.0076983,           0.0076983,           0.0076983
                  95,            0.062409,           0.0050474,            0.023386,             0.51789,             0.47974,             0.44549,             0.14916,            0.025712,           0.0053885,           0.0074139,           0.0076735,           0.0076735,           0.0076735
                  96,            0.063342,           0.0051693,            0.022506,             0.56516,             0.47905,             0.43834,             0.15696,            0.026278,            0.005383,           0.0073704,           0.0076488,           0.0076488,           0.0076488
                  97,             0.06319,           0.0050965,            0.021931,             0.51202,             0.44155,             0.42273,             0.15568,            0.026104,           0.0051885,           0.0072418,            0.007624,            0.007624,            0.007624
                  98,            0.062224,           0.0048774,            0.020337,             0.50643,             0.43781,             0.40808,              0.1454,            0.026254,           0.0054395,           0.0077757,           0.0075993,           0.0075993,           0.0075993
                  99,            0.062865,           0.0047986,             0.02084,             0.60385,             0.44608,             0.44492,             0.16664,            0.025608,           0.0051818,           0.0068689,           0.0075745,           0.0075745,           0.0075745
                 100,            0.062397,           0.0050188,            0.021793,             0.63958,             0.47817,             0.46751,             0.17149,            0.025749,            0.005205,           0.0066124,           0.0075498,           0.0075498,           0.0075498
