               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.073694,            0.034106,             0.10488,           0.0025119,             0.15313,            0.014225,           0.0039446,            0.064601,              0.0348,             0.10452,            0.006337,            0.006337,            0.006337
                  39,            0.072449,            0.034174,             0.10458,            0.001705,             0.17188,           0.0065905,           0.0019603,            0.076989,            0.031824,             0.10401,            0.006238,            0.006238,            0.006238
                  40,            0.074295,            0.032833,              0.1048,           0.0034057,             0.23125,            0.036371,            0.004738,            0.073031,            0.042676,             0.10389,            0.006139,            0.006139,            0.006139
                  41,            0.073093,            0.034063,             0.10441,            0.014975,             0.16562,            0.017501,           0.0050683,            0.066671,            0.032944,             0.10427,             0.00604,             0.00604,             0.00604
                  42,            0.071801,            0.033933,             0.10456,           0.0035331,             0.19375,            0.011724,           0.0024292,            0.067718,            0.033574,             0.10424,            0.005941,            0.005941,            0.005941
                  43,            0.072396,            0.033805,             0.10449,          0.00053862,             0.09375,           0.0012025,          0.00034129,            0.079242,            0.055972,             0.10438,            0.005842,            0.005842,            0.005842
                  44,            0.071471,            0.034043,             0.10431,            0.035941,             0.16319,            0.025216,              0.0144,             0.06399,            0.032627,             0.10432,            0.005743,            0.005743,            0.005743
                  45,            0.072126,            0.033862,             0.10464,           0.0083384,             0.19062,            0.015291,           0.0056615,             0.07066,            0.032102,             0.10425,            0.005644,            0.005644,            0.005644
                  46,            0.071615,            0.033753,             0.10426,           0.0037402,             0.15382,            0.010391,           0.0030441,            0.064282,            0.034468,             0.10442,            0.005545,            0.005545,            0.005545
                  47,            0.071632,            0.034158,             0.10463,            0.022959,             0.17049,             0.02148,           0.0046754,            0.075767,            0.034863,             0.10414,            0.005446,            0.005446,            0.005446
                  48,            0.071877,            0.033078,             0.10435,           0.0058961,              0.1375,           0.0081121,           0.0025818,            0.063541,             0.03322,             0.10413,            0.005347,            0.005347,            0.005347
